id,jobFilingNumber,borough,house_number,street_name,address,zip_code,job_type,permit_status,filing_date,issuance_date,job_description,estimated_job_costs,owner_name,owner_business_name,applicant_business_name,applicant_license,latitude,longitude,community_board,council_district,census_tract,nta,source
dob-now-B01164781-P1,B01164781-P1,BROOKLYN,1272,SUTTER AVENUE,1272 SUTTER AVENUE,10601,Alteration,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-08T23:47:03.000Z,Other | Cellar,20000,RISING GROUND,RISING GROUND,RISING GROUND,085879,40.672894,-73.871042,305,42,120801,East New York-City Line,NYC DOB NOW Build Job Application Filings
dob-now-S01260007-S2,S01260007-S2,STATEN ISLAND,128,CROMWELL AVENUE,128 CROMWELL AVENUE,10309,New Building,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-07T20:47:15.000Z,"2 Family | Floor Number(s)-2-SO-7830-S01260007-I1, Basement-SO-5653-S01260007-I1, Floor Number(s)-1-SO-3319-S01",0,PR,PR,PR,083550,40.590549,-74.096801,502,50,9602,Grasmere-Arrochar-South Beach-Dongan Hills,NYC DOB NOW Build Job Application Filings
dob-now-X01383142-I1,X01383142-I1,BRONX,1283,WARING AVENUE,1283 WARING AVENUE,11803,Alteration,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-07T22:18:52.000Z,2 Family | Open Space,75000,Not Applicable,Not Applicable,Not Applicable,103706,40.861029,-73.849836,211,13,316,Pelham Gardens,NYC DOB NOW Build Job Application Filings
dob-now-Q01339304-P1,Q01339304-P1,QUEENS,130-31,NORTHERN BOULEVARD,130-31 NORTHERN BOULEVARD,11361,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-09T19:06:35.000Z,Other | Open Space,25000,NYC DDC,NYC DDC,NYC DDC,066283,40.762652,-73.837445,407,20,38301,Flushing-Willets Point,NYC DOB NOW Build Job Application Filings
dob-now-S00857666-S4,S00857666-S4,STATEN ISLAND,131,MCKINLEY AVENUE,131 MCKINLEY AVENUE,10309,Alteration CO,Approved,2026-04-07T04:00:00.000Z,2026-04-08T23:08:41.000Z,"1 Family | Basement-SO-2623-S00857666-I1, Basement-SO-1009-S00857666-I1, Floor Number(s)-1-SO-9120-S00857666-I1",25000,PR,PR,PR,104072,40.569272,-74.140693,503,50,138,Oakwood-Richmondtown,NYC DOB NOW Build Job Application Filings
dob-now-S01384139-I1,S01384139-I1,STATEN ISLAND,131,THOMAS STREET,131 THOMAS STREET,11220,Alteration,Permit Entire,2026-04-07T04:00:00.000Z,2026-04-13T20:58:20.000Z,1 Family | Open Space,5000,Not Applicable,Not Applicable,Not Applicable,043292,40.566904,-74.133159,503,50,138,Oakwood-Richmondtown,NYC DOB NOW Build Job Application Filings
dob-now-S01260022-S2,S01260022-S2,STATEN ISLAND,132,CROMWELL AVENUE,132 CROMWELL AVENUE,10309,New Building,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-08T17:47:53.000Z,"2 Family | Basement-SO-6711-S01260022-I1, Floor Number(s)-2-SO-6868-S01260022-I1, Floor Number(s)-1-SO-1579-S01",0,PR,PR,PR,083550,40.590505,-74.096714,502,50,9602,Grasmere-Arrochar-South Beach-Dongan Hills,NYC DOB NOW Build Job Application Filings
dob-now-S01366731-I1,S01366731-I1,STATEN ISLAND,133,GREAVES AVENUE,133 GREAVES AVENUE,10312,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-08T22:58:35.000Z,2 Family | Open Space,8000,Not Applicable,Not Applicable,Not Applicable,028800,40.556705,-74.146687,503,51,14605,Great Kills-Eltingville,NYC DOB NOW Build Job Application Filings
dob-now-Q01383311-I1,Q01383311-I1,QUEENS,133-09,37 AVENUE,133-09 37 AVENUE,11377,Alteration,Permit Entire,2026-04-07T04:00:00.000Z,2026-04-08T18:03:56.000Z,Other | Open Space,26760,PLATINUM SERVICES NY LLC,PLATINUM SERVICES NY LLC,PLATINUM SERVICES NY LLC,071719,40.760397,-73.834411,407,20,869,Flushing-Willets Point,NYC DOB NOW Build Job Application Filings
dob-now-X01157390-P4,X01157390-P4,BRONX,1339,CROES AVENUE,1339 CROES AVENUE,11417,Alteration CO,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-08T18:45:21.000Z,2 Family,44000,EXCELLENT HOPE INC,EXCELLENT HOPE INC,EXCELLENT HOPE INC,103102,40.833226,-73.871534,209,18,64,Soundview-Bruckner-Bronx River,NYC DOB NOW Build Job Application Filings
dob-now-B01344235-P1,B01344235-P1,BROOKLYN,1350,76 STREET,1350 76 STREET,11432,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-08T23:03:52.000Z,"2 Family | Cellar, Floor Number(s) 001 through 002, Open Space",150000,PR,PR,PR,091712,40.61902,-74.006945,310,38,198,Dyker Heights,NYC DOB NOW Build Job Application Filings
dob-now-B01344236-P1,B01344236-P1,BROOKLYN,1350,76 STREET,1350 76 STREET,11432,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-08T18:24:25.000Z,"2 Family | Cellar, Floor Number(s) 001 through 002, Open Space",60000,PR,PR,PR,091712,40.61902,-74.006945,310,38,198,Dyker Heights,NYC DOB NOW Build Job Application Filings
dob-now-B01383248-I1,B01383248-I1,BROOKLYN,1363GAR,SUTTER AVENUE,1363GAR SUTTER AVENUE,11580,Alteration,Permit Entire,2026-04-07T04:00:00.000Z,2026-04-10T19:17:58.000Z,Other | Open Space,9480,FAIRDEALS PROPERTIES LLC,FAIRDEALS PROPERTIES LLC,FAIRDEALS PROPERTIES LLC,091999,40.673439,-73.867465,305,42,1200,East New York-City Line,NYC DOB NOW Build Job Application Filings
dob-now-M01359874-I1,M01359874-I1,MANHATTAN,137,EAST   22 STREET,137 EAST   22 STREET,10018,Alteration,Permit Entire,2026-04-07T04:00:00.000Z,2026-04-07T22:34:52.000Z,Other | Roof,900000,CUNY,CUNY,CUNY,096555,40.738689,-73.984851,106,02,68,Gramercy,NYC DOB NOW Build Job Application Filings
dob-now-M01383892-I1,M01383892-I1,MANHATTAN,137,EAST   66 STREET,137 EAST   66 STREET,11101,Alteration,Pending Plan Examiner Assignment,2026-04-07T04:00:00.000Z,2026-04-08T15:53:06.000Z,Other,0,PR,PR,PR,005926,40.766469,-73.964647,108,04,120,Upper East Side-Carnegie Hill,NYC DOB NOW Build Job Application Filings
dob-now-M01376994-I1,M01376994-I1,MANHATTAN,139,MOTT STREET,139 MOTT STREET,07090,Alteration,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-09T23:32:02.000Z,Other | Ground Floor,30000,288 SIU KEE,288 SIU KEE,288 SIU KEE,088728,40.718568,-73.996706,102,01,41,SoHo-Little Italy-Hudson Square,NYC DOB NOW Build Job Application Filings
dob-now-M01379209-S1,M01379209-S1,MANHATTAN,140,EAST   45 STREET,140 EAST   45 STREET,10019,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-13T23:54:46.000Z,Other | Floor Number(s) 40 through 40,50000,"2GC OWNERS, LLC","2GC OWNERS, LLC","2GC OWNERS, LLC",076082,40.753157,-73.974172,106,04,92,East Midtown-Turtle Bay,NYC DOB NOW Build Job Application Filings
dob-now-M01379209-I1,M01379209-I1,MANHATTAN,140,EAST   45 STREET,140 EAST   45 STREET,10016,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-09T19:17:55.000Z,Other | Floor Number(s) 40 through 40,80000,"2GC OWNERS, LLC","2GC OWNERS, LLC","2GC OWNERS, LLC",025254,40.753157,-73.974172,106,04,92,East Midtown-Turtle Bay,NYC DOB NOW Build Job Application Filings
dob-now-M01379209-S2,M01379209-S2,MANHATTAN,140,EAST   45 STREET,140 EAST   45 STREET,10019,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-10T01:17:08.000Z,Other | Floor Number(s) 40 through 40,100000,"2GC OWNERS, LLC","2GC OWNERS, LLC","2GC OWNERS, LLC",076082,40.753157,-73.974172,106,04,92,East Midtown-Turtle Bay,NYC DOB NOW Build Job Application Filings
dob-now-M00890937-P3,M00890937-P3,MANHATTAN,142,FIFTH AVENUE,142 FIFTH AVENUE,10017,Alteration,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-09T15:53:21.000Z,Other | Floor Number(s) 8 through 8,74989.2,PR,PR,PR,096997,40.739299,-73.991852,105,03,54,Midtown South-Flatiron-Union Square,NYC DOB NOW Build Job Application Filings
